id,time_step,right_elbow_x,right_elbow_y,right_elbow_z,right_hand_x,right_hand_y,right_hand_z
7,2.5,1.8918428583,-0.1895653775,-0.4323309237,1.7345467449,-0.4046274177,-0.5065167778
8,0.1,-0.1467212579,-0.1902591268,-0.2560821537,-0.6859219153,-1.1234377116,-1.5398868099
8,0.2,-0.1487771048,-0.1708776324,-0.2160274489,-0.6922120919,-1.1314718854,-1.550823076
8,0.3,-0.1475498766,-0.1588055379,-0.1895991871,-0.6963352552,-1.1360532878,-1.5570532634
8,0.4,-0.1353267919,-0.141072771,-0.1621735692,-0.6988282832,-1.1386664258,-1.5605734858
8,0.5,-0.1278564773,-0.2723564785,-0.4112986035,-0.701320929,-1.1114078037,-1.5057218433
8,0.6,-0.1207769523,-0.1949076694,-0.2916882368,-0.7025715203,-1.1349400479,-1.5421051898
8,0.7,-0.1157376895,-0.1534716489,-0.2187658173,-0.7058171201,-1.1437235568,-1.5579039367
8,0.8,-0.1206774701,-0.2941452481,-0.4609412126,-0.7102039539,-1.0967439121,-1.4684170333
8,0.9,-0.118535337,-0.2087748882,-0.3199533962,-0.7070120569,-1.1331427754,-1.5274687229
8,1,-0.1191191711,-0.2851726566,-0.4577077267,-0.7061194153,-1.0979746212,-1.4610795963
8,1.1,-0.1259627427,-0.2122640659,-0.3257146996,-0.7058655044,-1.1329785794,-1.5218769753
8,1.2,-0.1403024236,-0.2838524472,-0.3954270567,-0.7024792384,-1.1137974551,-1.5160542971
8,1.3,-0.1386976679,-0.2122429669,-0.2859998918,-0.6940430395,-1.1263655536,-1.5373954634
8,1.4,-0.1382847838,-0.175774798,-0.2234572048,-0.6889490572,-1.126843717,-1.5431892643
8,1.5,-0.1417058232,-0.1608336261,-0.1916516806,-0.6891307552,-1.1284906537,-1.547856788
8,1.6,-0.1356150541,-0.2284612405,-0.2745167798,-0.6848076448,-1.1084280722,-1.5266435291
8,1.7,-0.1314304489,-0.2270576286,-0.3136043732,-0.6867066666,-1.1080613441,-1.5145711029
8,1.8,-0.1257923883,-0.1706835237,-0.2244774114,-0.6852043845,-1.1207938933,-1.5351715754
8,1.9,-0.1064308045,-0.1279756418,-0.1593518709,-0.6838312957,-1.1225802817,-1.5406598326
8,2,-0.0923378371,-0.1029554071,-0.1207962025,-0.6866684571,-1.1262521201,-1.5465252315
8,2.1,-0.0820915613,-0.0874148412,-0.0974820243,-0.6949487753,-1.1347517161,-1.5562576989
8,2.2,-0.073239835,-0.0759351966,-0.081633339,-0.6954446132,-1.1353050378,-1.5574856719
8,2.3,-0.069004974,-0.0703770153,-0.0736354312,-0.7001963581,-1.1400718525,-1.5626165982
8,2.4,-0.0748783901,-0.075578773,-0.0774712097,-0.6953843128,-1.1352637716,-1.5580035676
8,2.5,-0.0697354446,-0.0700934904,-0.0712143035,-0.6939757829,-1.1338562776,-1.5567001862
8,2.6,-0.0639924897,-0.064175663,-0.0648545608,-0.691988002,-1.1318687401,-1.5547681809
8,2.7,-0.0693138057,-0.0694075553,-0.0698288386,-0.6981947697,-1.1380755685,-1.561004543
8,2.8,-0.0797773141,-0.0798157051,-0.0800473359,-0.7020583945,-1.1419392541,-1.5648872649
8,2.9,-0.0935104228,-0.093530076,-0.0936820366,-0.7019558934,-1.1418367529,-1.5647914741
8,3,-0.1088731426,-0.2805455788,-0.4456154676,-0.7003125034,-1.0826881248,-1.4503562121
8,3.1,-0.0857971124,-0.1717488292,-0.2815528752,-0.7021656638,-1.1285504872,-1.5224273494
8,3.2,-0.0963128233,-0.1387496328,-0.2069620825,-0.7024789019,-1.1387970285,-1.5452425683
8,3.3,-0.1016790928,-0.1229164107,-0.1646676248,-0.7005423809,-1.1394875811,-1.5533607871
8,3.4,-0.1157356546,-0.2482392613,-0.38772469,-0.7005374548,-1.1123894923,-1.500144115
8,3.5,-0.1195653486,-0.1871746552,-0.278749211,-0.6995668535,-1.1320340545,-1.5348069719
8,3.6,-0.1295270299,-0.1639262834,-0.2228953019,-0.6966300593,-1.134563066,-1.546358757
8,3.7,-0.1261226277,-0.1436814907,-0.1817046912,-0.7025479427,-1.1419179814,-1.5588194483
8,3.8,-0.12709478,-0.1360771566,-0.1608789433,-0.7077434692,-1.1474904398,-1.5671956874
8,3.9,-0.1172716139,-0.1218690374,-0.1383050216,-0.7103920443,-1.1502378199,-1.5714590165
8,4,-0.1165491196,-0.1189025378,-0.1299780888,-0.7124675353,-1.1523392453,-1.5743733974
8,4.1,-0.1095320175,-0.1107368409,-0.1183180013,-0.7122653,-1.152143782,-1.5746119914
8,4.2,-0.1045787824,-0.1053498376,-0.1112837636,-0.7126949069,-1.1525747917,-1.5752127879
8,4.3,-0.1045787824,-0.1053498376,-0.1112837636,-0.7126949069,-1.1525747917,-1.5752127879
8,4.4,-0.1045787824,-0.1053498376,-0.1112837636,-0.7126949069,-1.1525747917,-1.5752127879
9,0.1,-0.0322502482,0.0278651729,0.0277150932,-0.6884610327,-1.1016891437,-1.5043612629
9,0.2,-0.0331650038,0.0263335379,0.026388847,-0.6882927599,-1.1012630309,-1.5039351498
9,0.3,-0.0365426574,-0.0399994011,-0.0447595077,-0.6883938317,-1.0901926537,-1.4722457756
9,0.4,-0.0356599329,0.0505664915,0.0499270614,-0.6872171385,-1.0952932943,-1.4979641899
9,0.5,-0.0343588204,0.0521049439,0.0518280959,-0.688306047,-1.0974820534,-1.5001540504
9,0.6,-0.0339763159,0.0305670891,0.0305040302,-0.6906917291,-1.1038568077,-1.5065289269
9,0.7,-0.0385925464,0.0439414786,0.0437325411,-0.6907057629,-1.1011255225,-1.5037975207
9,0.8,-0.0389005552,0.0266942661,0.0266501741,-0.6888289408,-1.1021593387,-1.5048314581
9,0.9,-0.0359699846,0.0262052801,0.0262025201,-0.6966070036,-1.1106035459,-1.5132756651
9,1,-0.043873848,0.0174452203,0.0174448693,-0.6946457596,-1.1088763917,-1.5115485108
9,1.1,-0.0433430408,0.0236305251,0.0236304793,-0.6959103581,-1.1088972297,-1.5115693488
9,1.2,-0.0449978075,0.028065909,0.0280659013,-0.6961139746,-1.108244906,-1.5109170252
9,1.3,-0.0544606975,0.0239416811,0.023941681,-0.6928678738,-1.1039522897,-1.5066244089
9,1.4,-0.0627983124,-0.0227692295,-0.0227692295,-0.6957574089,-1.1125118908,-1.5151840099
9,1.5,-0.0639230141,0.0165838272,0.0176930776,-0.6949980178,-1.1057579796,-1.5084285112
9,1.6,-0.0686617529,-0.0009039638,-0.0007653123,-0.7002097223,-1.1129419453,-1.5156140644
9,1.7,-0.0710581987,-0.069136692,-0.0708780445,-0.7050886442,-1.107827282,-1.4930034024
9,1.8,-0.0768343766,-0.0893349216,-0.1039144285,-0.707703862,-1.1100458615,-1.4971946414
9,1.9,-0.082569285,-0.1144290499,-0.1452234284,-0.7063887686,-1.1025230756,-1.4834390166
9,2,-0.0948794772,-0.1192047495,-0.154331664,-0.7164517301,-1.1252778249,-1.5122122508
9,2.1,-0.1064656483,-0.121094466,-0.1563196336,-0.7300271496,-1.1461834194,-1.5402170791
9,2.2,-0.1215477072,-0.1280734083,-0.1567581212,-0.7340405192,-1.1523787096,-1.5512541469
9,2.3,-0.1338585862,-0.1243754195,-0.1197358898,-0.7334968215,-1.1182316057,-1.4795285603
9,2.4,-0.1469686908,-0.14850828,-0.1619025635,-0.7356674176,-1.1124859216,-1.4472874695
